epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,82.3927,1.07376,0.82195,0.99568,0.55933,0.00332384,0.00332384,0.00332384
2,148.042,0.25836,0.87381,0.99741,0.37109,0.00645745,0.00645745,0.00645745
3,212.994,0.14915,0.8522,0.99654,0.4624,0.00939107,0.00939107,0.00939107
4,276.949,0.11425,0.83319,0.99395,0.47957,0.0091,0.0091,0.0091
5,341.619,0.08501,0.85653,0.99741,0.44067,0.0088,0.0088,0.0088
6,405.984,0.07478,0.86258,0.99654,0.4908,0.0085,0.0085,0.0085
7,470.235,0.07002,0.88159,0.99654,0.43172,0.0082,0.0082,0.0082
8,534.718,0.06396,0.87122,0.99741,0.46965,0.0079,0.0079,0.0079
9,599.715,0.06355,0.8522,0.99741,0.46908,0.0076,0.0076,0.0076
10,664.514,0.06296,0.90061,0.99741,0.35994,0.0073,0.0073,0.0073
11,729.517,0.06104,0.89974,0.99741,0.39567,0.007,0.007,0.007
12,794.293,0.06145,0.89283,0.99568,0.40975,0.0067,0.0067,0.0067
13,858.584,0.05986,0.88591,0.99654,0.41113,0.0064,0.0064,0.0064
14,924.106,0.0592,0.88418,0.99741,0.35352,0.0061,0.0061,0.0061
15,989.538,0.05646,0.90061,0.99654,0.39648,0.0058,0.0058,0.0058
16,1054.09,0.05373,0.89888,0.99827,0.34497,0.0055,0.0055,0.0055
17,1118.3,0.05213,0.92048,0.99914,0.32568,0.0052,0.0052,0.0052
18,1182.19,0.05299,0.90493,0.99741,0.39095,0.0049,0.0049,0.0049
19,1246.85,0.04541,0.90147,0.99741,0.42855,0.0046,0.0046,0.0046
20,1311.12,0.04497,0.9153,0.99654,0.29785,0.0043,0.0043,0.0043
21,1381.01,0.04195,0.90925,0.99654,0.30334,0.004,0.004,0.004
22,1446.33,0.0379,0.91962,0.99654,0.31917,0.0037,0.0037,0.0037
23,1511.31,0.0342,0.90838,0.99568,0.3383,0.0034,0.0034,0.0034
24,1576.11,0.02982,0.91184,0.99741,0.34489,0.0031,0.0031,0.0031
25,1640.37,0.02917,0.91098,0.99827,0.31543,0.0028,0.0028,0.0028
26,1705.48,0.02523,0.91098,0.99654,0.30916,0.0025,0.0025,0.0025
27,1769.8,0.01867,0.9153,0.99827,0.36027,0.0022,0.0022,0.0022
