epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.641,0.9702,1.07939,0.92378,0.73918,0.70528,0.76075,0.50988,1.18714,inf,0.98779,0.000663623,0.000663623,0.000663623
2,914.326,0.80288,0.55715,0.87883,0.75608,0.72971,0.7741,0.51124,1.18914,inf,1.0144,0.00125712,0.00125712,0.00125712
3,1350.07,0.77525,0.47864,0.8768,0.7684,0.69015,0.75723,0.52017,1.18848,inf,1.03743,0.00177729,0.00177729,0.00177729
4,1787.7,0.7441,0.43817,0.87283,0.73926,0.70284,0.75783,0.52408,1.13321,inf,1.00113,0.00167,0.00167,0.00167
5,2222.37,0.71798,0.41078,0.8673,0.72437,0.58068,0.65843,0.45535,1.22862,inf,1.04372,0.00156,0.00156,0.00156
6,2653.26,0.69751,0.39154,0.86173,0.76723,0.68426,0.76396,0.56396,1.09627,inf,1.00366,0.00145,0.00145,0.00145
7,3086.77,0.67889,0.37459,0.85715,0.76569,0.71281,0.76551,0.54436,1.10933,inf,1.0128,0.00134,0.00134,0.00134
8,3522.54,0.66703,0.36405,0.85455,0.74927,0.71224,0.76966,0.54524,1.11236,inf,1.00985,0.00123,0.00123,0.00123
9,3955.89,0.63824,0.3393,0.84164,0.77549,0.69095,0.76997,0.54692,1.15701,inf,1.02206,0.00112,0.00112,0.00112
10,4380.24,0.62468,0.32776,0.83896,0.78857,0.70234,0.77834,0.53739,1.22468,inf,1.04562,0.00101,0.00101,0.00101
11,4806.19,0.61215,0.31854,0.83603,0.78092,0.69559,0.77298,0.54254,1.189,inf,1.02314,0.0009,0.0009,0.0009
