epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.0121,1.02586,0.83751,0.99654,0.47144,0.000236558,0.000236558,0.000236558
2,78.7162,0.21168,0.86344,0.99568,0.39624,0.000453202,0.000453202,0.000453202
3,109.367,0.15676,0.84961,0.99568,0.4882,0.000648427,0.000648427,0.000648427
4,140.911,0.12869,0.879,0.99654,0.37256,0.00061761,0.00061761,0.00061761
5,171.292,0.10171,0.90406,0.99654,0.2972,0.00058548,0.00058548,0.00058548
6,201.158,0.0869,0.91962,0.99741,0.2994,0.00055335,0.00055335,0.00055335
7,231.304,0.07836,0.89369,0.99654,0.35522,0.00052122,0.00052122,0.00052122
8,262.85,0.068,0.89715,0.99827,0.35173,0.00048909,0.00048909,0.00048909
9,292.927,0.06229,0.90147,0.99654,0.3208,0.00045696,0.00045696,0.00045696
10,323.144,0.05603,0.91443,0.99827,0.28389,0.00042483,0.00042483,0.00042483
11,358.769,0.04859,0.89628,0.99654,0.37174,0.0003927,0.0003927,0.0003927
