epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.7147,0.63438,0.88505,0.99741,0.35726,0.000237322,0.000237322,0.000237322
2,150.426,0.11301,0.89283,0.99568,0.31637,0.000453932,0.000453932,0.000453932
3,215.85,0.1008,0.85393,0.99654,0.46899,0.000649123,0.000649123,0.000649123
4,281.893,0.08524,0.86344,0.99654,0.36873,0.00061761,0.00061761,0.00061761
5,347.856,0.06394,0.85134,0.99741,0.53646,0.00058548,0.00058548,0.00058548
6,413.906,0.0514,0.86776,0.99654,0.41707,0.00055335,0.00055335,0.00055335
7,480.386,0.04704,0.88418,0.99654,0.46387,0.00052122,0.00052122,0.00052122
